mentity,kind,stereotype,id,,,
core::Numeric::unary -,MMethod,collaborational,prop_collaborational,,,
core::Numeric::to_b,MMethod,collaborational,prop_collaborational,,,
core::Numeric::zero,MMethod,collaborational,prop_collaborational,,,
core::Numeric::is_zero,MMethod,accessor,prop_accessor,,,
core::fixed_ints::Numeric::to_i8,MMethod,collaborational,prop_collaborational,,,
core::fixed_ints::Numeric::to_i16,MMethod,collaborational,prop_collaborational,,,
core::Writer::is_writable,MMethod,accessor,prop_accessor,,,
core::Writer::write_byte,MMethod,collaborational,prop_collaborational,,,
core::Writer::write_char,MMethod,collaborational,prop_collaborational,,,
core::Writer::write,MMethod,collaborational,prop_collaborational,,,
json::JsonValue::value=,MMethod,mutator,prop_mutator,,,
json::JsonValue::is_null,MMethod,accessor,prop_accessor,,,
json::JsonValue::is_bool,MMethod,accessor,prop_accessor,,,
json::JsonValue::is_float,MMethod,accessor,prop_accessor,,,
json::JsonValue::is_map,MMethod,accessor,prop_accessor,,,
json::JsonValue::is_numeric,MMethod,accessor,prop_accessor,,,
json::JsonValue::to_f,MMethod,collaborational,prop_collaborational,,,
json::JsonValue::to_bool,MMethod,collaborational,prop_collaborational,,,
json::JsonValue::to_map,MMethod,collaborational,prop_collaborational,,,
json::JsonValue::json_type,MMethod,accessor,prop_accessor,,,
core::Couple::first,MMethod,accessor,prop_accessor,,,
core::Couple::first=,MMethod,mutator,prop_mutator,,,
core::Couple::second,MMethod,accessor,prop_accessor,,,
core::Couple::second=,MMethod,mutator,prop_mutator,,,
github::ContributorStats::api,MMethod,accessor,prop_accessor,,,
github::ContributorStats::author,MMethod,accessor,prop_accessor,,,
github::ContributorStats::total,MMethod,accessor,prop_accessor,,,
github::ContributorStats::weeks,MMethod,accessor,prop_accessor,,,
github::ContributorStats::api=,MMethod,mutator,prop_mutator,,,
github::ContributorStats::author=,MMethod,mutator,prop_mutator,,,
github::ContributorStats::total=,MMethod,mutator,prop_mutator,,,
github::ContributorStats::weeks=,MMethod,mutator,prop_mutator,,,
ai::SearchNode::problem,MMethod,accessor,prop_accessor,,,
ai::SearchNode::problem=,MMethod,mutator,prop_mutator,,,
ai::SearchNode::action,MMethod,accessor,prop_accessor,,,
ai::SearchNode::apply_action,MMethod,collaborational,prop_collaborational,,,
ai::SearchNode::score,MMethod,accessor,prop_accessor,,,
ai::SearchNode::is_root,MMethod,accessor,prop_accessor,,,
ai::SearchNode::steps,MMethod,accessor,prop_accessor,,,
ai::SearchNode::steps=,MMethod,mutator,prop_mutator,,,
ai::SearchNode::state=,MMethod,mutator,prop_mutator,,,
ai::SearchNode::id,MMethod,accessor,prop_accessor,,,
neo4j::JsonCurlRequest::execute_hook,MMethod,collaborational,prop_collaborational,,,
neo4j::JsonCurlRequest::auth,MMethod,accessor,prop_accessor,,,
neo4j::JsonCurlRequest::auth=,MMethod,mutator,prop_mutator,,,
neo4j::JsonCurlRequest::init_headers,MMethod,collaborational,prop_collaborational,,,
gamnit::MtlDef::name,MMethod,accessor,prop_accessor,,,
gamnit::MtlDef::illumination_model,MMethod,accessor,prop_accessor,,,
gamnit::MtlDef::map_ambient,MMethod,accessor,prop_accessor,,,
gamnit::MtlDef::ambient=,MMethod,mutator,prop_mutator,,,
gamnit::MtlDef::map_specular,MMethod,accessor,prop_accessor,,,
gamnit::MtlDef::map_specular=,MMethod,mutator,prop_mutator,,,
gamnit::MtlDef::specular=,MMethod,mutator,prop_mutator,,,
gamnit::MtlDef::map_diffuse=,MMethod,mutator,prop_mutator,,,
gamnit::MtlDef::map_exponent=,MMethod,mutator,prop_mutator,,,
gamnit::MtlDef::map_bump=,MMethod,mutator,prop_mutator,,,
socket::TCPSocket::address,MMethod,accessor,prop_accessor,,,
socket::TCPSocket::address=,MMethod,mutator,prop_mutator,,,
socket::TCPSocket::port,MMethod,accessor,prop_accessor,,,
socket::TCPSocket::port=,MMethod,mutator,prop_mutator,,,
core::UInt16::ascii,MMethod,collaborational,prop_collaborational,,,
core::UInt16::|,MMethod,collaborational,prop_collaborational,,,
core::UInt16::^,MMethod,collaborational,prop_collaborational,,,
core::UInt16::>>,MMethod,collaborational,prop_collaborational,,,
core::UInt16::<<,MMethod,collaborational,prop_collaborational,,,
core::UInt16::unary ~,MMethod,collaborational,prop_collaborational,,,
core::UInt16::&,MMethod,collaborational,prop_collaborational,,,
core::UInt16::%,MMethod,collaborational,prop_collaborational,,,
event_queue::EventInfo::completion,MMethod,accessor,prop_accessor,,,
event_queue::EventInfo::add_sync,MMethod,collaborational,prop_collaborational,,,
event_queue::EventInfo::expire,MMethod,collaborational,prop_collaborational,,,
event_queue::EventInfo::has_expired,MMethod,accessor,prop_accessor,,,
event_queue::EventInfo::has_expired=,MMethod,mutator,prop_mutator,,,
event_queue::EventInfo::event=,MMethod,mutator,prop_mutator,,,
event_queue::EventInfo::time=,MMethod,mutator,prop_mutator,,,
event_queue::EventInfo::queue=,MMethod,mutator,prop_mutator,,,
event_queue::EventInfo::add_before,MMethod,collaborational,prop_collaborational,,,
event_queue::EventInfo::occurrences=,MMethod,mutator,prop_mutator,,,
nitcorn::HTCPCPAction::is_teapot,MMethod,accessor,prop_accessor,,,
nitcorn::HTCPCPAction::is_teapot=,MMethod,mutator,prop_mutator,,,
nitcorn::HTCPCPAction::brewing,MMethod,accessor,prop_accessor,,,
nitcorn::HTCPCPAction::brewing=,MMethod,mutator,prop_mutator,,,
core::Tm::year,MMethod,accessor,prop_accessor,,,
core::Tm::hour,MMethod,accessor,prop_accessor,,,
core::Tm::min,MMethod,accessor,prop_accessor,,,
core::Tm::sec,MMethod,accessor,prop_accessor,,,
core::Tm::mday,MMethod,accessor,prop_accessor,,,
core::Tm::yday,MMethod,accessor,prop_accessor,,,
core::Tm::strftime,MMethod,accessor,prop_accessor,,,
core::Tm::localtime,MMethod,creational,prop_creational,,,
core::Tm::gmtime,MMethod,creational,prop_creational,,,
core::Tm::localtime_from_timet,MMethod,creational,prop_creational,,,
android::Android_widget_ArrayAdapter::from_Context_int_int,MMethod,creational,prop_creational,,,
android::Android_widget_ArrayAdapter::from_Context_int_ObjectArray,MMethod,creational,prop_creational,,,
android::Android_widget_ArrayAdapter::from_Context_int_int_ObjectArray,MMethod,creational,prop_creational,,,
android::Android_widget_ArrayAdapter::add,MMethod,collaborational,prop_collaborational,,,
android::Android_widget_ArrayAdapter::insert,MMethod,collaborational,prop_collaborational,,,
android::Android_widget_ArrayAdapter::remove,MMethod,collaborational,prop_collaborational,,,
android::Android_widget_ArrayAdapter::get_position,MMethod,accessor,prop_accessor,,,
android::Android_widget_ArrayAdapter::clear,MMethod,mutator,prop_mutator,,,
android::Android_widget_ArrayAdapter::set_notify_on_change,MMethod,mutator,prop_mutator,,,
android::Android_widget_ArrayAdapter::set_drop_down_view_resource,MMethod,mutator,prop_mutator,,,
gtk::GtkPositionType::top,MMethod,creational,prop_creational,,,
gtk::GtkPositionType::left,MMethod,creational,prop_creational,,,
gtk::GtkPositionType::bottom,MMethod,creational,prop_creational,,,
gtk::GtkPositionType::right,MMethod,creational,prop_creational,,,
android::audio::Sound::id,MMethod,accessor,prop_accessor,,,
android::audio::Sound::id=,MMethod,mutator,prop_mutator,,,
android::audio::Sound::soundpool,MMethod,accessor,prop_accessor,,,
android::audio::Sound::soundpool=,MMethod,mutator,prop_mutator,,,
android::audio::Sound::soundpool_id,MMethod,accessor,prop_accessor,,,
android::audio::Sound::soundpool_id=,MMethod,mutator,prop_mutator,,,
gamnit::TextSprites::sprites,MMethod,accessor,prop_accessor,,,
gamnit::TextSprites::sprites=,MMethod,mutator,prop_mutator,,,
gamnit::TextSprites::anchor,MMethod,accessor,prop_accessor,,,
gamnit::TextSprites::anchor=,MMethod,mutator,prop_mutator,,,
gamnit::TextSprites::text,MMethod,accessor,prop_accessor,,,
gamnit::TextSprites::text=,MMethod,mutator,prop_mutator,,,
gamnit::TextSprites::target_sprite_set,MMethod,accessor,prop_accessor,,,
gamnit::TextSprites::target_sprite_set=,MMethod,mutator,prop_mutator,,,
gamnit::TextSprites::font,MMethod,accessor,prop_accessor,,,
gamnit::TextSprites::font=,MMethod,mutator,prop_mutator,,,
markdown::Decorator::EMITTER,MVirtualTypeProp,virtualtype,prop_virtualtype,,,
linux::ui::Control::NATIVE,MVirtualTypeProp,virtualtype,prop_virtualtype,,,
ios::ui::Control::NATIVE,MVirtualTypeProp,virtualtype,prop_virtualtype,,,
android::ui::Control::NATIVE,MVirtualTypeProp,virtualtype,prop_virtualtype,,,
